a;b;c;d
Alcool cinnamique;Balsamique;Cinnamique, rosé APE, amandé miellé, fermenté (bière, cèdre) (attention, alcool phényl propylique plus tard);Cannelle, APE, gingembre, héliotrope, salive, pate d’amande, poussiéreux, miellé, cidre, bière, fermenté, olive noire, vineux
Alcool phényl éthylique;Rosé;Marguerite, vineux caoutchouc eau stagnante, saké, miellé doux;Rosé jaune blanc oranger, vert craquant, saké poire, pain au chocolat, jaune d’oeuf, effet colle, diffus, effet feutre weleda, coquelicot, vineux, liquoreux, mie de pain, jacinthe, oeillet, asperge, plastique, fleuriste, pivoine, bouchon de liège, idée de pollen, cire d’abeille nettoyée, marguerite
Alcool phényl propylique;Balsamique;Cinnamique, vineux rosé, fleuri jacinthe;Cinnamique, colle, un peu métallique, pas hyper puissant étonnamment, solvant, goudron, un peu rosé, miellé, fruit pourrie (mandarine pourrie), effet salicylé, jacinthe, jonquille, lilas, pois de senteur décrépi, bière, stérimar
Aldéhyde anisique;Anisé;Amandé cinnamique, anthranylé, algue, floral (mimosa, acacia, lilas);Coumariné, mouillé, mousse de chêne, linge mouillé, tante quechua, poisson, pipi, sent les toilettes publiques propres, amandé, terpinéol, détergent, lilas, plastique, anthranylé, naphtaline, algue, varech ammoniaqué, poudre à récurer, mimosa, genêt
Aldéhyde C8;Orangé aldéhydé;Gras rance, zesté orangé légère nuance coco, métallique inox, poire;Aldéhydé, rapeux, agrume, copeaux de coco, blanc/gris, piscine vide, oisette, huile de friture rance, l’amertume de la peau de pamplemousse, aqueux concombre
Aldéhyde C10;Orangé aldéhydé;Coriandre, mandarine pamplemousse, poussiéreux métallique;Orangé, poussiéreux, coriandre, acide citrique, stridant, métallique, pétillant, animal, vieux draps, certaines carottes
Aldéhyde C11;Orangé aldéhydé;Butyrique, fer chaud, banane pourrie, acide;Aldéhydé, orangé, puissant, fer, vomi, vêtement de vieux, suc gastrique, acide, butyrique, concombre, cuir chevelu pas net, banane pourrie sucrée, l’ortie et le lantana
Aldéhyde C12 laurique;Orangé aldéhydé;Zesté mandarine, vert, vapeur ozonique;Aldéhydé métallique, butyrique, vert, sapin, ambré, savon, marin, poudre blanche, neige, plâtre, chou de bruxelles, ozone, feuille de tomate, aspirine, mandarine, agrume, vaporeux, fer  chaud, neige chaude, bâton de ski, parafine, accord tarentule, insecte, feuille de coriandre, carotte dégueulasse
Aldéhyde C12 MNA;Orangé aldéhydé;Calcaire, conifère encens, métallique, ozonique;Aldéhyde, neige, tapis, ambré, fleuri, pédiatre, métallique, poussiéreux, fin, fleur blanche bien moisie fanée, poire de ouf, encens, calcaire, butyrique, magnésie, odeur de cellophane, eau chaude dans la bouilloire, vapeur ozonique, sent la fougère naturelle, artichaud, acétate d’isobornyle, le schweppes, la rue (petite plante interdite car très avortif)
Aldéhyde C16;Fruité;Fraise poire, animal, cannelle;légèrement ambrarôme, doux, peu puissant, écurie de très loin, fruit rouge, fraise, tagada, pomme rouge, coing
Aldéhyde C14;Fruité;pèche (abricot, pomme poire coco), gras cireux crayon, carton farineux;shampoing, fruité, peche, pomme verte, coco, abricot, métallique, sang, farineux, rapeux, peut aller chercher un iris (beurre), cireux, blé, avoine, noix, graphite, mine de crayon, mirabelle, gant de toilette humide
Aldéhyde C18;Fruité;lacté, figuier, céleri, amandé;coco, figuier, lacté, minéral, lézard, rapeux, citronelle, grain, lait d’amande, chocolat blanc, crème de marron, iodé persil, champagne, boisé
Aldéhyde cinnamique;Epicé;cannelle, amandé, légume navet, boisé poussiéreux;bâton de cannelle, un peu amandé, plastique, pneu, carotte, céleri, navet, un peu labdanum, os de poulet, thé à la cannelle cheap, calisson, vin chaud, noix de pécan, pistache, miel
Aldéhyde cyclamen;Marin;fleuri muguet, pastèque melon, vert, caoutchouc plastique;humide, aqueux, vert, concombre, plastique, bulle, rond, fleuri, muguet, ozonique, melon d’eau, pastèque sucrée, léger effet cumin, thé, éponge sale humide, jacinthe, muguet, seringa, troène, freesia
Aldéhyde mandarine;Orangé aldéhydé;Mandarine, coriandre feuille de tomate, ozonique marin;Aldéhyde, neige, frais, vineux, lierre, escargot écrasé, bigorneau, salé, plus savon, un peu plus marin, sent le savon jaune de l’école, léger côté diphényl oxyde / feuille de géranium, zesté mandarine, lie de vin, coriandre, les rails sous la pluie, feuille de tomate
Aldéhyde phényl acétique;Vert;Amandé, miellé pollen, floral marguerite;APE sous coke, grosse rose de jardin, artichaud, très impactant, miellé, marguerite à fond, vert, pollen, capucine, miellé du safran, jacinthe, acacia, feuille de cassis, amandé, effet cinnamique
Allyl amyl glycolate;Fruité;banane ananas, vert gazon, vapeur chaud bouilloire;Vert, fruité, gazon, pomme, jus de pomme, tend vers la grosse banane écrasée, sent le chaud, bouilloire, céleri branche, étouffant, moite
Ambrettolide;Musqué;Fruité mûre, crayeux blanc, poire, lacté;Musqué, poudré, framboise, blanc, nuageux, craie, cosmétique, mûre, un peu thé, crayeux mur en pierre, propre, pelure de pomme, dalle humide, lacté, violette lointaine, talc, fleuri muguet
Ambrinol;Animal;Terreux, ambre gris, minéral;Terre, ambre gris, cave humide, chlore, piscine, terre fraîche humide, patchouli, animal, ambré, labdanum, cuir, feutre, encre, irisé, violette, camphré, aromatique, eau stagnante marais, minéral, betterave
Ambroxan;Ambré;Boisé cédré, papier journal, terreux tabac brun, violette;Ambré boisé, cèdre, vétiver, transpi, vieux cuir, champignon, sec, papier journal
Anethol;Anisé;Réglisse, amandé, vert;Anis, pastis, réglisse, jaune vert, aromatique, sucré, vanillé, fenouil, amer, un peu lavandé, un peu fleuri fleur des champs, giroflée, amandé orgeat, épicé cardamome, foin frais
Anthranilate de méthyle;Orangé aldéhydé;Naphtaline, fruité fraise raisin, poussiéreux, plastique caoutchouc;Colle, naphtaline, aluminium, cuir noir, fleuri, thé au jasmin, chemin de fer, piscine, mort, pétrole, pneu, caoutchouc, plastique neuf, raisin anglosaxon, fraise des bois, un peu amandé, fleur d’oranger, gardénia, mentholé, cassie, mimosa
Aurantiol;Orangé aldéhydé;Floral fleur d’oranger tubéreuse, naphtaliné anthranilé, plastique, solaire;Orangé, anthranilé, doux, fraise charlotte, fleuri doux, solaire, gras, jasminé, amandé, anisé, plastique, cave, tubéreuse
Bacdanol;Boisé;Santal, coco, beurré brioche;santal synthétique, écoeurant, chaussette sale, lourd, bloc, lacté, sec, smecta, boisé ambré, chloré, noix de coco, poussiéreux, brioche, boisé
Benzoate de méthyle;Florale fraîche;Méthylé, floral ylang, amandé cerise, phénolique caoutchouc;Méthylé, sec, chewing gum wintergreen, anthranilé, fleur d’oranger, gras, fleur blanche, ylang, tubéreuse, ciment, chantier, goudron chaud, amandé chocolat, laque, produit chimique, cerise, liqueur de cerise, Mon chéri, lacté, maltolé derrière, éthéré, poussiéreux, phénolique, encre, amandé, miellé, brioches, clafoutis, voiture neuve, balle de tennis, benjoin, mimosa reconstitué
Bourgeonal;Florale fraîche;Floral muguet tilleul, caoutchouc, marin ozonique;Plastique, vert, marin, sec, aldéhyde cyclamen moins puissant, gras, grinçant, un des plus jolis substituants lilial / lyral, fleuri muguet, mie de pain, peau de banane verte, aldéhydé, tige, sève, eau salée, timbre à lécher
Butyrate DMBC;Fruité;Fruité pomme raisin, vert, thé;Jus de pomme, jus de raisin, conifère, un peu sève figuier, liquide, rosé damascone, kiwi, vert, très fruité divers, on a tous les fruits qu’on souhaite, même dans le côté liquide, côté boisé qui oscille entre pin et figuier, vert, fruit sec, tabac blond, lapsang souchon, pate de coin, damascone, acacia, seringa, acidulé, papaye, jus sucré quand même, lavandé
Butyrate de géranyle;Rosé;Butyrique, civette, jus d’orange;Butyrique, fruit vomis, régurgitation, rot de lait, floral blanc, tubéreuse, jasmin, géranyle, juteux, marin, kiwi, acide, jus d’orange
Calone 1951;Marin;Huitre, pastèque melon, métallique persil olive (verte amère);Marin, menthe, huitre, eucalyptus, métallique, persil, inox, concombre, melon, pastèque, magnolia
Camphre;Agreste;Froid glacial montant éthéré, aromatique, résine naphtaline;Menthé, eucalyptus, camphré, débouchez nez, perce le ciel, traverse, épée lumineuse, froid, anisé, réglisse, litière de chat, éther, doucement résineux, romarin
Canthoxal;Anisé;Mimosa, aqueux pastèque, vert, aldéhydé;Solaire, vert, jasminé, concombre, chocolat blanc, pastèque, mimosa, aqueux, amandé, aubépine, pâte à pain, melon, anis, savonneux, aldéhydé, muguet, lilas, tanin, banane verte, frite, galette des rois un peu grasse
Carvone L;Menthé;Sucré poudré, très frais (pas froid), aromatique;Menthé frais, pas poivrée, chewing gum vert, flash, thé, fruité, anisé, poudré, ananas, navet, savonneux
Caryophyllène Béta;Conifère terpénique;Poivré, terreux cave, fruit confis/légume;Rouge grenat un peu sombre, confituré, plat, boisé poussiéreux, un peu encaustique, côté vieille cave champignon, terpénique, pharmaceutique, eau de cuisson, amidon, verdeur un peu sombre, carotte, eau de vie fruitée, encens, résine, épicé, muscade, laurier, salé métallique, betterave boisée
Cashméran;Boisé;Musqué, terrreux patchouli, fruité pomme, eucalyptus camphré encens;Pomme, gouache, poussiéreux, cave, humide, montant, croquant, cuir synthétique, boisé rond, solaire, pomme dans cagette, camphré eucalyptus, boisé musqué, mûre et musc, terreux betterave, minéral, patchouli, boisé sec, le citralé de la verveine, caryophyllène, cassis, ambre gris, résinoide encens
Cedramber;Ambré;Boisé cédré, sec, fleuri lys violette;Boisé ambré sec, transpi, cédré ambré, cuiré, essence, sciure, cèdre, tabac sac, un peu violette, lys, oeillet
Cinnamate de linalyle;;;Cinnamlque, orangé, marsmallow, yaourt à la cerise, chèvrefeuille, amandé, sourd et tassé, abricoté, fruité, floral. Devient de plus en plus chèvrefeuille et yaourt à l’abricot, labdanum éthéré
Cinnamate de méthyle;Balsamique;Cinnamique, fruité fraise, animal salive;Cinnamique, ciste, salive, bave, vin chaud, peuplier, colle, amande, pomme cuite, butyrique, patchouli, baumé, résineux, orangé, fraise, animal, rosé, benjoin, miellé poudré, guimauve, chanvre, lys épicé, narcisse, seringa, acacia
Cis jasmone;Epicé;Céleri champignon, anisé carvis réglisse cumin, figuier lactonique, jasmin;Céleri, asperge, urine, plastique, cumin, brûlé, train qui freine, figuier feuille, bois de massoïa, pain d’épice, carvis, anisé, paille, safran
Cis-3-hexenol;Vert;Herbe coupée, fruité, métallique plastique;Fruité agrume, blanc, plâtre, feutre weleda, métallique, shampouineux, peinture fraîche, un peu coriandre, vert herbacé, plastique, gazon, poire, kiwi, framboise, basilic, muguet
Citral;Citralé;Acide, citronelle verveine, métallique poussiéreux;Verveine, citronnelle, aigüe, pulco métallique, grinçant, bouillon céleri, arrondi coco, écorce de coco, cuisine thailandaise, blanc cassé, vert fluo, poussiéreux
Citronellol;Rosé;Poussiéreux crayeux rapeux, citralé citronelle, muguet;Coco rapeux, un peu citronnelle grasse, crayeux, rapeux, zeste, céleri, aldéhydé coriandre, cuisine thailandaise, rosé, fleuri épicé, angélique, magnolia, muguet, gingembre juteux, jus de pamplemousse
Corps Cassis;Soufré;Fruité cassis fruit de la passion, alliacé poireau, pipi de chat;Fusant, cassis, fruit exotique mangue passion figue, buis, soufré, règles, pipi de chat
Coumarine;Coumariné foin;Amandé poussiéreux, lacté, praliné miellé;Amande amère un peu métallique cireux, foin, paille, tabac, colle, jaune brun mat, miellé, praliné, rapeux, naphtaline
Cyclacet;;;Noix, iris, céleri, carvi, fraîcheur menthée, graine, rhubarbe, vert, boisé cédré, petit côté fruité, pin doux poudré, va vers un vert miellé viridine
Cyclogalbanate;Vert;Ananas, butyrique, vert tige;Fruité ananas, vert, butyrique, croquant, alcoolisé, fruité
Cyclotène;Pyrogéné cuir;Sucre brûlé caramel, réglisse, immortelle;Curry, café, immortelle, réglisse, sésame, sirop d’érable, seba, caramel, pyrogéné, cuisson, réaction de maillard, légume cuit, bouillon cube, marmitte, cachou, zan, céleri, foin, éthéré, très montant, balsamique, sauce soja, grillé, brûlé, noix caramélisée, eau de riz basmati
Damascénone;Fruité;Pomme pruneaux fruits secs, rosé, eucalyptus;eucalyptus, vieille rose, conifère, pin, cristal, cave à vin, humide, vineux, liquoreux, vieille bouteille, fût, forêt, vieux blouson, fruité, pruneaux à l’armagnac, fruits secs, pâtes de fruits
Damascone alpha;Fruité;Cave terreux noisette verte, fruité fruits rouge, térébenthine conifère, rosé;coing, cassis, pruneau, framboise, terreux, cave, bouchon de vin, eucalyptus, boisé camphré
Damascone béta;Fruité;Fruité confituré, rosé, conifère camphré aromatique;Rosé, confituré un peu plastique, géranium, pin terpénique, camphré, poisson, aneth, thym, eucalyptus laurier, raisin, ice tea peche, cassis, pomme poire, coing, liquoreux, liège
Décalactone gamma;Fruité;Fruité mirabelle mangue, agrume juteux, beurré crémeux;Fruité, tarte aux pommes, beurré, crémeux, un peu vert coco, mangue, lactoné mais vraiment dans le côté beurré crémeux tarte aux pommes cuite au four, un peu terreux moisi dans les facettes, croquant, sucré, prune, mirabelle, un peu juteux dans le fruité. Assez équilibré pèche/abricot, plus agrume pétillant juteux, vaguement irisé, le fruité du jasmin, vieux rouge à lèvres, poudre de cosmétique
Dihydro beta ionone;Boisé;Violette, Terreux, Ambre gris;Violette, irisé, cédré, carotte, boisé sciure, vétiver, crayeux, musqué, terreux, ambre gris sans ambroxan, thym, chat, sauge, cuir sec, épicé, méthyl eugénol, miel, avec une pointe de paracrésol pour effet chat
Dihydromyrcénol;Zesté;Citronné limette, aromatique lavandé, propre savonneux, métallique vert;Lavandé, linalol, aqueux, marin, frais électrique, vert, aromatique, fleuri frais, métallique hurlant, moche
Diméthyl anthranylate;Fleur d'oranger;Terreux cave carotte, fruité mandarine, napthaline, iodé salé;Anthranylate, céleri, carotte, grosse mandarine bien confite, légèrement fumé, doucement cannelle, raisin, note huitre marin très salé, terreux, intérieur d’hôpital, chloré, garage, sparadrap, noix, noisette, calcaire de coquillage
DMBC;Florale fraîche;Muguet lilas, caoutchouteux pneu, IBQ vert, zesté;vert, aqueux, épicé, persil, aigre, calcaire, minéral, un peu champignon, plastique chaud, baudruche, IBQ, câpre, eucalytpus, cave, gardénia, fleuri muguet, le freinage de train, terpinéol, acidulé de la coriandre, lilas, citron confit, le pneu neuf, le kumqwat, la balle de ténis, quelques facettes qui rappellent le DHM, cuir blanc, sol gymnase, ballon de basket/ de tennis, vert rhubarbe
Diphényl oxyde;Vert;Métallique, ozonique, champignon, fruité poire, rosé géranium;Aqueux, floral, pastèque, champignon, artichaud, poire, métallique, oignon, mangue verte, ozonique, terpénique, feuille de géranium, vert menthé sucré, juteux
Dynascone;Fruité;Vert galbanum, fruité ananas, gras lactoné;Lessiviel, transparent, montant, essence de ciste, ananas vert, fourmis écrasée, térébenthine, yaourt, lait fermenté
DMA Citral;Citralé;Verveine citronelle, vert, métallique aspirine;Citralé, bonbon, anti moustique, citronelle, vert, verveine, pin, conifère, petit fond alliacé, plus juteux vert naturel métallique que le citral, va vers le PTG citronnier, aspirine, légère inflexion mandarine, concombre, feuille de citronelle fraîche
DMA  aldéhyde hydratropique;Mousse moisi;Champignon, vert sève, floral chèvrefeuille, zesté pamplemousse;Vert miellé, champignon, pomme noyaux, vert assez chèvrefeuille, croquant, feuille et tige, lierre, chèvrefeuille, oranger, doux, capucine, roquette, métallique, rosé, jacinthe, sauge, carambole, fleur d’oranger, pamplemousse, végétal, sève, terpinéol, pollen, pétillant (parfois on le voit très agrume), anisé sucré, truffe, fraîcheur conifère, feuille morte sous-bois automne
Ethyl linalol;Florale fraîche;Lavandé, zesté pamplemousse, freesia chèvrefeuille;Côté liquide du linalol, poivré, thé, un peu gras crayeux, fleuri orangé, plus rond que linalol, jus d’orange, un peu métallique, jus de betterave, transpi, vomi, freesia, chèvrefeuille, coriandre, camphré dihydro, bois de rosé, anisé, basilic frais
Ethyl maltol;Pyrogéné cuir;Caramel sucre cuit, fruité fraise, lacté boisé;Gourmand, madeleine, gâteaux, fleur d’oranger, sucre cuit, cake industriel, beurré, lacté, fruité, coco grillée, conifère, résineux pin
Eucalyptol;Agreste;Camphré térébenthine pharmaceutique, eucalyptus, montant glacial, sucré;Hyper camphré, eucalyptus, cannelle, cardamome, tellement fusant, pureté, glacial, transparent, bonbon la vosgienne, sève, réglissé, s’éteint d’un coup
Eugénol;Epicé;Girofle, médicamenteux, métallique, oeillet piquant, bois fumé;Clou de girofle, cireux, pateux, chaud, métallique, vanillé, fiente, ferme, pneu, poussiéreux, vieille cave, un peu chocolaté, épicé oeillet, bois brûlé (feu qu’on aurait éteint avec de l’eau), nuance feuille de laurier, banane séchée, pièce de monnaie sale
Evernyl;Mousse moisi;Boisé cèdre, poussiéreux âcre, algue iodé;Poussière, mousse de chêne, beige, gris rèche, animal empaillé, foin, paille, nuage de poussière, iodé algue, minéral, mûre, myrtille en tirant loin, anthranylé
Exaltolide;Musqué;Fruits rouges (mûre, myrtille, framboise), boisé lacté, animal (à nuancer);Fleuri musqué doux, beige, très légèrement poudré, image de soie, peut aller chercher une note terreuse douce, odeur du papier, plâtreux, lacté, santalé, yaourt à la mûre framboise, petite tonalité fleur d’oranger, parfois un peu animal
Florol;Florale fraîche;Muguet magnolia freesia, zesté mandarine, vert;Limonène, pas très montant, comme un limonène éteint, fleuri blanc, mandarine, chaussette, chocolat blanc, fleuri blanc rosé un peu aromatique freesia, citronné zesté, quelque chose du dihydro en éteint, magnolia, ananas, linalol/coriandre, linalol vert, terpinéol aqueux
Floropal;Zesté;Pamplemousse, vert rhubarbe, Aromatique cannabis, fruité goyave lantana;Rhubarbe, frais zesté, vert, citron vert, yuzu, métallique, grinçant, soufré, grosse beuh de ouf, cannabis, pin, pamplemousse, sauge, eucalyptus, romarin, pépin de framboise, gelée de goyave, fruit de la passion, lantana camara, ortie, feuille de tomate
Fraistone;Fruité;Ananas fraise, anisé, champignon cis-jasmone, floral blanc;Anisé fin et synthétique, fruité banane ananas, anisé abstrait, un peu champignon vert, fructone, lactoné jasminé, lavandé basilic, un peu davana vineux, acrylique, un peu weleda
Frambinone;Fruité;Framboise grenadine, sucré barbe à papa lacté, plastique poussiéreux;Framboise, mûre, canneberge, grenadine, marqueur, APE, protège cahier, plastique, cellophane, boisé, transpiration clef, krema, rail de train
Fructone;Fruité;Butyrique acide, pomme ananas, éthéré, vert;Liquoreux, fruité, banane, feutre weleda, poussiéreux, mangue, fruit exotique, ananas et cocktail ananas, acide, acidité de la pomme, l’acidulé du fruit en général, boisé, un peu calcaire dans le fond, un peu le vomi de la fraise mais pas trop vomi quand même, fraîcheur un peu mentholée, lacté, éthéré, anthranylé, bière, buis, côté crésol et anisé du paracrésyle, quelques reflets coca cinnamique
Galaxolide;Musqué;Fruits rouges, vert pomme, vanillé onctueux;Musqué doux, propre, lessive, vert pomme, subtilement vanillé, difficile à remplacer car effet vanillé onctueux que les autres muscs n’ont pas, parfois une tonalité fleur d’oranger
Galbazine;Vert;Poivron, asperge petit pois, piment fève;Vert, noisette, poivron, galbanum, pastèque, racine, noisette verte, piment, asperge, figuier, feuille de tomate
Géraniol;Rosé;Zesté citronelle, métallique, vert, légèrement champignon (qui est caractéristique);Citronelle, rince doigt, acide, poisson, métallique, citralé, verveine, frais montant aérien, géranium, rosé, menthé vert, fruité jus de fruit, thé au citron, presque rhum aussi, jus de pamplemousse, aspect champignon qui le distingue du citronellol
Glycolierral;Vert;Pamplemousse, cassis, fruits rouge, thé vaporeux;Vaporeux, souffle spirituel, coup de vent, fruité framboisé, myrtille, soufré léger, pamplemousse, cassis, yaourt, laurier feuille, sourd, poivré, thé, baies de genièvre, linalyle, brugnon
Habanolide;Musqué;Boisé sec santalé, métallique, fruité mûre;Musc blanc plus terreux, métallique, boisé sec, montant, moderne, piquant, boisé ambré, fusant, café, plombant poudré, crémeux, santalé sec, légèrement anisé, un peu sauge sur les bords, savon de marseille, vieille rose boisée, mûre sec, granuleux de l’angélique, chocolat blanc, noix de coco, damascone. Dans vanille exquise dit Isabelle
Hédione;Florale fraîche;Jasminé, citronné acidulé, aérien aqueux humide lointain, léger effet butyrique;Poussière d’étoile, blanc scintillant, très frais, petites bulles aériennes et légèrement humide, beau et fin, jasmin lointain, doucement anisé, effet butyrique très léger, effet fleuri de la peau de citron, céleri champignon, vert fruité vaguement butyrique, magnolia
Hélional;Marin;Fruité pastèque, vert croquant, aldéhydé;Fruit d’eau, melon, pastèque, vert, aqueux, croquant, maigre, métallique, marin, cerise jaune avec la grande feuille physallis
Heliotropine;Anisé;Amandé cerise, très poudré, vanillé, floral lilas mimosa;Vanillé cuiré, poudré, lacté, poudreux, amandé, sombre cuir pneu colle, monte dans le nez tellement est poudré, gauffre, pâte à modeler, cerise, lait concentré, violette, lilas, mimosa, cassie, aubépine, giroflée, feuille de shiso, anisé, menthé
Hexalon / Cétone V / Allyl alpha ionone;Fruité;Banane ananas, violette, vert, cédré;"Banane, arlequin, chimique, un peu boisé, vert, solvant, banane vert, sucré, gelée anglaise, anisé, ténu, confiture de bleuet, fruité ananas pomme, toute une partie boisée, un peu butyrique, châtaigne crue, gomme, sourd.
Loulou, petite chérie, grey flannel, la nuit de paco rabanne. Peut plomber formule donc mettre peu"
Hydroxycitronellal;Florale fraîche;Muguet lilas glycine, aldéhydé fer chaud, ozonique vert concombre;Fleuri léger un peu humide concombre, muguet, chèvrefeuille, bourgeon, lilas, glycine, santalé fer chaud, gras salé
Indole;Animal;Fleuri pétale, naphtaline, goudron pétrôle;Napthaline, pétale de fleurs (lilas, jacinthe, muguet…), glycine, genêt, pétrole, encre sèche, sent le vieux, cacahuète, girafe (crésol et indole)
Ionone alpha;Florale fraîche;Crémeux gourmand gras, fruité framboise, violette;Violette, fruité rapeux, iris sec poudreux, vert menthé, cèdre, framboise, crémeux, bonbon à la framboise, sucré, un peu acétate de terpényle, cerise, frite
Ionone béta;Florale fraîche;Violette poudré, cuiré terreux, caoutchouteux, fruité framboise pêche;Cuir blanc, magasin de chaussure, daim, cours techno soudure, fleur d’oranger, guimauve, mentholé, pêche, iris, cèdre texas, violette, parfois pétales de rose, plastique chaud, caoutchouc, smarties chocolat, bâton réglisse
Iralia;Florale fraîche;Violette, daim cuiré, camphré eucalyptus;C’est un mélange de méthyl ionones compté comme un produit simple. Violette, cuiré, daim, soufré, pamplemousse, boisé dur, crayeux, fruité frmaboise, un peu cédré iso e, ambre gris sans ambroxan, camphré, conifère, poudré, thé, juteux linalyle, un peu rosé, beurre, encens, iris, réglisse, café, + daim boisé sombre que l’isoraldéine qui elle est + linalyle fruitée, se développe plus dans le temps que l’isoraldéine
Isobutavan;Balsamique;Chocolat cacao, glace à la vanille, rhum raisin;Chocolat au lait, en poudre, nesquik, noisette, crème de noisette, on ouvre le sachet de Savane, rhum-raisin, vanille, nougat, côté éthéré, pistache, petite madeleine de mauvaise qualité, des chamallows au cacao, gousse de vanille, nutella, tolu, vert tige, vanillé fleuri blanc
Isobutyl Quinoléine;Pyrogéné cuir;Légume cuit asperge verte, terreux, soufré, aromatique thym estragon cannabis;Artichaud, vert, asperge, pipi d’asperge, champignon, dur cuir, sec, petit pois, fumé, encre, céleri, iodé cuir, estragon, garage, thym, beuh, cannabis rhubarbe
Isobutyrate de phénoxyéthyle;Fruité;Fruité melon, champignon, floral magnolia;"Fleuri aqueux, melon, tilleul, gardénia, lilas, rosé, cinnamique, chèvrefeuille, fruité transparent, fruit d’eau, fruit un peu trop mur, légèrement aldéhydé, vert champignon, levure, camomille, fait vraiment champignon avec le temps. Dans le fruité : pomme, prune, poire, papaye, noix.
Autre date : Fruité fruits secs, rosé, thé, sarrasin, facette minérale de l’encens, farineux, blé, miellé doux, floral jacinthe tilleul, fruité prune, mangue bien mûre, boisé assez rond"
Isobutyrate de phényléthyle;Fruité;Fruité pomme banane, vineux butyrique, rosé, miellé;Vapeur d’alcools, fond de bière, fond de vin, haleine d’alcool, fermentation, levure. Fruité pomme, fruits secs au soleil, prune, mirabelle, fraise tagada, banane. Côté rosé APE mais dans les facettes blanches alcool. Un peu champignon sec, léger truc violette, fruité vert de la jacinthe, marguerite, gras, vieux champignon, mie de pain
Isocyclocitral;Vert;Pomme verte, patchone terreux, conifère;Herbe coupée, champignon, menthé, conifère, térébenthine, damascone, buis, moisi, mousse, pomme trognon, betterave, fibreux, bougie Noël
Iso E Super;Boisé;Ambré, cèdre vétiver, violette, sucré;Cèdre humide, boisé sec mais avec note humide, violette, anisé, boisé ambré très doux, plus sucré boite à sucre, cèdre et vétiver, très légèrement fumé, légèrement pétillant, parfois il a des facettes presque un peu verte, conifère, apporte beaucoup de poudré quand il y a des notes florales autour
Isoeugénol;Epicé;Oeillet, vanillé, fumé, eugénol;Epicé, vanillé, poudré, compact, girofle, oeillet, remonte dans le nez comme l’héliotropine, minéral, cuisson, salé, fumé, écoeurant, partie florale : lys, lilas, pétunias, tiaré, gardénia…
Isoraldéine 95;Florale fraîche;Violette, fruité framboise, boisé, bergamote;Equivalent théorique de la méthyl ionone gamma coeur d’IFF (+crémeuse). Ce sont des mélanges, ici dominante alpha isométhyl ionone. Violette, plâtre, camphré, fruité framboise, cachou, bergamote, sucré, fleur d’oranger, jus de frambois, sève de pin, boisé
Jasmolactone;Fruité;Coco, figuier, pina colada;Coco doux, coumariné, vert figuier mais plus fonctionnel, plus faible, fleuri blanc onctueux, côté lacté et jasmone aussi, un peu raide boisé, subtil, se tient bien. Alliacé, beurré, vert, odeur de l’aneth, nuances de tubéreuse et gardénia, pina colada, paréo, pomme de terre, la paille, peau de saucisson
Jasmonal A;Florale fraîche;Fleurs blanches gardénia jasmin, fruité fraise pomme, thé verrt, cinnamique doux;Fleuri blanc, crémeux, doux, gardénia, un peu thé, fruité poire très doux, légèrement fleur d’oranger, un peu anthranylé, fruit rouge  fraise, vert, seringa, très légèrement cinnamique, un peu champignon, un peu ananas, facette ananas de l’oud, peau de raisin, savonneux
Jasmonal H;Florale fraîche;Jasminé, fruité poire, vert marin, zesté;Un peu moins rosé que jasmonal A, crayeux, animal, plâtre, poudré, légèrement moisi, pâte à modeler, sourd, crayon de couleur gras, cinnamique, marin, benjoin, benzoate de benzyle, vineux, vinaigré, fleur blanche jasmin muguet, vert frais de la fraise, zesté, cuiré doux, floral vert du mimosa, belle paraphine
Jasmonate de méthyle;Florale fraîche;;thé au jasmin, croquant, beige, céleri cis jasmone, hédione en plus chaud, fruité fraise, rondeur d’agrume, amertume du pamplemousse, côté solaire gras, côté gras du jasmonal h, miellé très transparent
Karanal;Boisé;Boisé sec, vert, gras huileux;Beurré, vert tubéreuse, gras, végétal, feutre à ardoise, grinçant, boisé sec, grosses différences de perception seul
Kephalis;Boisé;Vert pomme, ambré ambroxan, sauge;Boisé humide, bornéol, ambroxan, humide, aqueux, salé, vétiver, fruité ananas, limonène, peinture, pin, sauge, pomme, peau, soja, cuir, tabac
Lactone de cis-jasmone;Florale fraîche;Floral tiaré, fruité coco, céleri, vert;Un peu coco, lactoné, pêche, crayeux, un peu daim, assez discret mine de rien, un peu vert, guimauve, fleur d’oranger, poire, floral blanc jasminé, tubéreuse douce, frangipanier, gasoil. Passe de la pêche à la coco en plus floral. Fleur blanche plus linalol, discret, un peu céleri, feuille verte des plantes grasses, tiaré, frangipanier, gardénia, presque un côté un peu boisé ambré, feuille de thé sèche
Lévistamel;;;Immortelle, solvant, café, brûlé, poire, poire au chocolat, salé, curry, épicé, café
Limonène D;Zesté;Orange pamplemousse, amer métallique, acidulé;Jus d’orange cheap, orangina, jaune moche, sent les zestes, l’orangina chauffé, médicinal sapin, s ‘évapore très vite, amer, sucré, acidulé
Linalol;Florale fraîche;Lavandé, poivré, zesté bergamote, floral chèvrefeuille;Vert, chèvrefeuille, lavandé, basilic, bergamote, zesté, agreste, ensoleillé, propre, vert bleu blanc, liquide, chloré, anisé, muguet, poivré, raisin blanc, thé
